(overcome hangover-31 love baguette vulcan venus)
(feast love baguette lemon alsace bavaria)
(overcome laceration-20 love lemon neptune vulcan)
(feast love lemon onion bavaria quebec)
(feast love onion turkey oregon alsace)
(feast aesthetics hamburger papaya alsace bavaria)
(feast aesthetics papaya lobster alsace bavaria)
(feast love turkey potato alsace bavaria)
(feast love potato muffin oregon alsace)
(feast love muffin ham alsace bavaria)
(succumb laceration-20 love ham neptune vulcan)
(feast aesthetics lobster baguette oregon alsace)
(feast aesthetics baguette lemon oregon alsace)
(overcome prostatitis-18 aesthetics lemon mars neptune)
(feast aesthetics lemon flounder alsace bavaria)
(feast aesthetics flounder scallion bavaria quebec)
(feast aesthetics scallion hamburger oregon alsace)
(feast aesthetics hamburger papaya oregon alsace)
(feast aesthetics papaya lobster oregon alsace)
(succumb prostatitis-18 aesthetics lobster mars neptune)
; cost = 20 (unit cost)
