(move place_17 place_25)
(move place_25 place_2)
(move place_2 place_13)
(move place_13 place_3)
(move place_3 place_1)
(move place_1 place_26)
(move place_26 place_1)
(move place_1 place_19)
(move place_19 place_14)
(move place_14 place_20)
(move place_20 place_16)
(move place_16 place_20)
(move place_20 place_1)
(move place_1 place_3)
(move place_3 place_13)
(move place_13 place_22)
(move place_22 place_13)
(move place_13 place_26)
(move place_26 place_1)
(move place_1 place_19)
(move place_19 place_14)
(move place_14 place_24)
(move place_24 place_21)
(move place_21 place_8)
(move place_8 place_16)
(move place_16 place_20)
(move place_20 place_28)
(move place_28 place_3)
(move place_3 place_13)
(move place_13 place_2)
(move place_2 place_10)
(move place_10 place_2)
(move place_2 place_27)
(move place_27 place_12)
(move place_12 place_15)
(move place_15 place_9)
(move place_9 place_27)
(move place_27 place_3)
(move place_3 place_28)
(move place_28 place_20)
(move place_20 place_16)
(move place_16 place_8)
(move place_8 place_5)
(move place_5 place_0)
(move place_0 place_23)
(move place_23 place_9)
(move place_9 place_27)
(move place_27 place_3)
(move place_3 place_13)
(move place_13 place_26)
(move place_26 place_18)
(move place_18 place_29)
(move place_29 place_7)
(move place_7 place_26)
(move place_26 place_1)
(move place_1 place_3)
(move place_3 place_28)
(move place_28 place_9)
(move place_9 place_23)
(move place_23 place_11)
(move place_11 place_4)
(move place_4 place_6)
; cost = 62 (unit cost)
